Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,False Positive Rate
XGBoost,0.8046930447125621,0.9689586114819759,0.6786410036624327,0.7982218963383896,0.9663672161627828,0.028730305838739572
Random Forest,0.7676987224982257,0.9658979391560353,0.6135743785552872,0.75044079104122,0.9629936305492265,0.02862732983214911
Logistic Regression,0.7556334279630944,0.9247274414289028,0.621288864645835,0.7432300163132137,0.8735821831624352,0.0668314282772114
